Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Printed Case","The case for the project",1,9.00,"https://stasis.hackclub.com/dashboard/projects/cmnx6mpds00uy01qgtn5vuzms","printing-legion"
"m3 screws","Holding the top and bottom pieces of the case together",1,1.80,"https://www.aliexpress.com/item/4000982209705.html","Aliexpress"
"Silicone electric copper cable","Wires for connecting the components in the final assembly",1,3.80,"https://www.aliexpress.com/item/1005008899104758.html","Aliexpress"
"Soldering iron kit","Connecting components inside the final case",1,10.00,"https://www.aliexpress.com/item/1005007295550389.html","Aliexpress"
"Active buzzer ","Sound alerts ",1,2.10,"https://www.aliexpress.com/item/32949954569.html","AliExpress"
"800 point breadboard","Circuit Prototyping",1,2.80,"https://www.aliexpress.com/item/1005005203255196.html","Aliexpress"
"OLED Display","Visual Feedback and display",1,2.25,"https://www.aliexpress.com/item/1005006141235306.html","Aliexpress"
"Raspberry pi pico RP2040","Main micro controller for processing inputs",1,6.00,"https://www.aliexpress.com/item/1005006646086759.html","Aliexpress"
"Analog Joystick Module","Analog X/Y input for navigation",1,1.00,"https://www.aliexpress.com/item/1237290993.html","Aliexpress"
"Rotary Encoder","Rotational input with click function",1,1.25,"https://www.aliexpress.com/item/1005009040530746.html","Aliexpress"
